iter	RMSE
0	0.3949900986
1	0.3907526815
2	0.3864533016
3	0.3822402751
4	0.3781455367
5	0.3741315637
6	0.3703134026
7	0.3663074681
8	0.3624520158
9	0.3586392619
10	0.3549867265
11	0.3512684001
12	0.3475776079
13	0.3438434246
14	0.3403828978
15	0.3370233443
16	0.3336242726
17	0.3303097012
18	0.3270296113
19	0.3236901862
20	0.3205845062
21	0.3175489343
22	0.3144502219
23	0.3116345597
24	0.3090569784
25	0.3060692887
26	0.3030624457
27	0.3001510884
28	0.2974314254
29	0.294930516
30	0.292177037
31	0.2895994702
32	0.2871172181
33	0.2846120173
34	0.2821343352
35	0.2796380071
36	0.2772779111
37	0.2749306112
38	0.2727889965
39	0.2702268107
40	0.2678494221
41	0.2655518468
42	0.2634616374
43	0.2612581591
44	0.2590048782
45	0.2568534738
46	0.2550609756
47	0.253066261
48	0.2511512205
49	0.2491624454
50	0.2472509344
51	0.2453084132
52	0.2434954424
53	0.2418106596
54	0.2397938927
55	0.2379292286
56	0.2363969581
57	0.2346627078
58	0.2329678171
59	0.2313044392
60	0.2298324494
61	0.2283207359
62	0.2266480607
63	0.2249827379
64	0.2234418653
65	0.222029211
66	0.2205120148
67	0.2191306666
68	0.2175898333
69	0.2163531905
70	0.2148529415
71	0.2133405996
72	0.2119192291
73	0.2106485868
74	0.2094242131
75	0.2079765577
76	0.2066017116
77	0.2053093474
78	0.2041033152
79	0.2028618369
80	0.2016824646
81	0.2005682781
82	0.1994755736
83	0.1983014946
84	0.1971290741
85	0.195993521
86	0.194933419
87	0.1938072261
88	0.1926739967
89	0.191644174
90	0.1904926451
91	0.189519953
92	0.1883927952
93	0.1873966602
94	0.1865293188
95	0.1855390445
96	0.1845336865
97	0.1835645374
98	0.1827348137
99	0.1817378779
100	0.1809061174
101	0.179972765
102	0.1790521223
103	0.178118636
104	0.1771192672
105	0.176299755
106	0.1755246212
107	0.1747573239
108	0.1740253437
109	0.1732284763
110	0.1725940773
111	0.1718211928
112	0.171115434
113	0.170412053
114	0.169632029
115	0.1688830392
116	0.1681606425
117	0.1676072488
118	0.166898337
119	0.1662661456
120	0.1656149301
121	0.1648797805
122	0.1641395186
123	0.1635240349
124	0.1628300797
125	0.1622592554
126	0.1616097185
127	0.161028307
128	0.1604370897
129	0.1598411109
130	0.1593158507
131	0.1586692843
132	0.1580834472
133	0.1574939242
134	0.1568568755
135	0.1562625937
136	0.1557039065
137	0.1551158585
138	0.1545797108
139	0.1540912931
140	0.1535811989
141	0.1531069448
142	0.1526592486
143	0.1521936457
144	0.1516672017
145	0.1512159211
146	0.1506971397
147	0.1501817274
148	0.1496659835
149	0.1492188481
150	0.1488072179
151	0.1484019036
152	0.1480160553
153	0.147549434
154	0.1470517021
155	0.1465293169
156	0.1461022121
157	0.1456636771
158	0.1452489574
159	0.1448225991
160	0.1443874203
161	0.1439845839
162	0.1436627596
163	0.1433108988
164	0.1429642105
165	0.1425402076
166	0.1422651826
167	0.141923062
168	0.1416120539
169	0.1412452515
170	0.1409483306
171	0.1406165751
172	0.1403056977
173	0.1399182602
174	0.1395907279
175	0.1392599929
176	0.1389326407
177	0.1385943057
178	0.1382833193
179	0.1379523892
180	0.1376466354
181	0.1373223742
182	0.1370874071
183	0.1368243428
184	0.136625117
185	0.1363727708
186	0.1360749158
187	0.1357297553
188	0.1354588237
189	0.1351893208
190	0.1349129487
191	0.1346308046
192	0.134356456
193	0.1341303018
194	0.1337956369
195	0.1335773366
196	0.1332622615
197	0.1330110263
198	0.1326865848
199	0.1324143018
200	0.1321462353
201	0.1318749808
202	0.1315989778
203	0.1313628734
204	0.1311604099
205	0.1309397536
206	0.1306503456
207	0.1304223793
208	0.1302143667
209	0.1299872557
210	0.1297377384
211	0.1294895126
212	0.1292313624
213	0.1290436642
214	0.1288362577
215	0.1286667032
216	0.1284934354
217	0.128231121
218	0.1280201838
219	0.1277409308
220	0.1275097607
221	0.1272927762
222	0.1271034016
223	0.1268501086
224	0.1266503577
225	0.1264318147
226	0.1262444326
227	0.1260392939
228	0.1258459938
229	0.1256960783
230	0.12551361
231	0.1252841081
232	0.1251522873
233	0.124928477
234	0.1247143141
235	0.1245829352
236	0.1243530013
237	0.1242059349
238	0.1240582169
239	0.1238860585
240	0.1237278493
241	0.1235337389
242	0.1233784894
243	0.12319812
244	0.1230177585
245	0.1228202143
246	0.1226393208
247	0.12244804
248	0.122266541
249	0.1220651035
250	0.1218684325
251	0.1217479752
252	0.1216147065
253	0.1214484993
254	0.1212512622
255	0.1210945508
256	0.1209046028
257	0.1207594901
258	0.1205722477
259	0.1203851656
260	0.1202536412
261	0.1201215666
262	0.1199726865
263	0.1197845353
264	0.1196501482
265	0.1195090198
266	0.1193472463
267	0.1192042043
268	0.1191165099
269	0.1189880479
270	0.1188272966
271	0.1186926455
272	0.1185628107
273	0.118467595
274	0.1182921875
275	0.1181547644
276	0.1180672835
277	0.1179088508
278	0.1177464976
279	0.1176138887
280	0.1174991765
281	0.1173656007
282	0.1172440799
283	0.1171395363
284	0.1170383584
285	0.1169600489
286	0.1168332687
287	0.1166852626
288	0.1165077046
289	0.1164254981
290	0.1163088062
291	0.1161955846
292	0.1160659157
293	0.1159347148
294	0.1157917109
295	0.11573
296	0.1156071351
297	0.1155289419
298	0.1154128004
299	0.1152977997
300	0.1151859851
301	0.1150451327
302	0.1149361591
303	0.1148571188
304	0.1147453192
305	0.1146492383
306	0.1145226796
307	0.1144285941
308	0.1143492503
309	0.1142528435
310	0.1141612317
311	0.1140974718
312	0.1139967905
313	0.1138908904
314	0.1137556792
315	0.1136858303
316	0.1135780551
317	0.1135625755
318	0.1134302408
319	0.1133410913
320	0.1132742739
321	0.1131970005
322	0.1131255235
323	0.1130355169
324	0.1129658916
325	0.1128590403
326	0.1127792214
327	0.1126481179
328	0.1125528105
329	0.1124541444
330	0.1123019658
331	0.112241557
332	0.1121396332
333	0.1120616925
334	0.1119617133
335	0.1118990381
336	0.1117788093
337	0.1116935009
338	0.1116123633
339	0.1115309693
340	0.1114258016
341	0.1112969504
342	0.1112099458
343	0.1111433726
344	0.111055939
345	0.1109957147
346	0.1108775094
347	0.110808629
348	0.1107170342
349	0.1106021088
350	0.1105120021
351	0.1104234513
352	0.1103215574
353	0.1102515013
354	0.1101454349
355	0.1100787535
356	0.1100177825
357	0.1099185081
358	0.1098235043
359	0.1097541075
360	0.1097453266
361	0.1096747768
362	0.109604228
363	0.109542866
364	0.1094833525
365	0.1094190177
366	0.1093620901
367	0.1092696767
368	0.109227564
369	0.1091507517
370	0.1090807653
371	0.1090090328
372	0.1089593008
373	0.1088795082
374	0.1088560703
375	0.1087991243
376	0.1087505289
377	0.1086567256
378	0.1086417497
379	0.1086086282
380	0.1085432927
381	0.1084432118
382	0.1083739543
383	0.1082918738
384	0.1082139364
385	0.108150956
386	0.1080343523
387	0.1079659131
388	0.107947415
389	0.1078814562
390	0.1077937547
391	0.1077144462
392	0.107645728
393	0.1075443408
394	0.1074979312
395	0.1074770959
396	0.1073924997
397	0.1073172646
398	0.1072681029
399	0.1072217432
400	0.1071645916
401	0.107107031
402	0.1070511748
403	0.1069960953
404	0.1069348704
405	0.1068879281
406	0.1068076603
407	0.1067378002
408	0.1066475491
409	0.1065557948
410	0.1065544137
411	0.1065145121
412	0.1065043807
413	0.1064775607
414	0.1063993646
415	0.1063539684
416	0.1062985329
417	0.106198873
418	0.1061701202
419	0.1061163615
420	0.1060470473
421	0.1059391326
422	0.105914558
423	0.1059046161
424	0.1058333329
425	0.1058178116
426	0.105807086
427	0.1057565895
428	0.105667122
429	0.1055758125
430	0.1055200421
431	0.1054254924
432	0.1053621066
433	0.105281246
434	0.1052396581
435	0.1051992704
436	0.1051256052
437	0.1050826048
438	0.1050185874
439	0.1049742746
440	0.1049088321
441	0.1048480763
442	0.1047856334
443	0.1047112727
444	0.1046770053
445	0.104596317
446	0.1045029081
447	0.1045018194
448	0.1044884055
449	0.1044114992
450	0.1043477389
451	0.1043303316
452	0.1042836268
453	0.1042374451
454	0.1042364259
455	0.1042251111
456	0.1041697167
457	0.1041431815
458	0.1041076409
459	0.1040371507
460	0.103962525
461	0.1039586668
462	0.1038982461
463	0.1038488692
464	0.1037661416
465	0.1037161106
466	0.1036635105
467	0.1036302216
468	0.1035533574
469	0.1034635317
470	0.1034626509
471	0.1034453047
472	0.103390899
473	0.1033897796
474	0.1033863457
475	0.1033720505
476	0.1033112161
477	0.1032687739
478	0.103267171
479	0.1032601201
480	0.1031419548
481	0.1030591902
482	0.1030584499
483	0.1029680106
484	0.1029598513
485	0.102878229
486	0.1028184751
487	0.1027830932
488	0.1027527701
489	0.1027004899
490	0.1026574599
491	0.1025793749
492	0.1025530967
493	0.1025421208
494	0.1024751288
495	0.1024138217
496	0.1024125193
497	0.1024072767
498	0.1024066377
499	0.1024033508
500	0.1024018614
501	0.1023441695
502	0.102343393
503	0.1022545375
504	0.1022450548
505	0.1022086135
506	0.1021976257
507	0.1021705346
508	0.1021043609
509	0.1020391868
510	0.1020018282
511	0.1019968097
512	0.101937135
513	0.1019366021
514	0.1018762235
515	0.1018676671
516	0.1018671542
517	0.1018518929
518	0.1017849432
519	0.101783374
520	0.1017504159
521	0.1017486574
522	0.101689952
523	0.1016867554
524	0.101625993
525	0.1015883001
526	0.1015802906
527	0.1015719
528	0.1015354014
529	0.1014921376
530	0.1014311259
531	0.1013919786
532	0.1013241057
533	0.1013215329
534	0.101316652
535	0.1012569234
536	0.1012540732
537	0.1012468404
538	0.1012415997
539	0.1011568714
540	0.1011563568
541	0.1010894835
542	0.101085225
543	0.101042916
544	0.1010034479
545	0.1009637985
546	0.1009588713
547	0.1009186683
548	0.1008788419
549	0.1008409847
550	0.1008219588
551	0.1007830465
552	0.1007715551
553	0.1007233493
554	0.1006563911
555	0.1005757161
556	0.1005680671
557	0.1005219239
558	0.1004791103
559	0.1004174467
560	0.1003786498
561	0.1003738153
562	0.1003153335
563	0.1002555101
564	0.1002071694
565	0.1002048355
566	0.10020228
567	0.1001906869
568	0.1001697148
569	0.1001107943
570	0.1000403679
571	0.1000375131
