iter	Passed	Remaining
0	63	114749
1	69	62466
2	74	44819
3	79	35696
4	84	30343
5	89	26724
6	93	23965
7	97	21890
8	102	20335
9	107	19218
10	112	18331
11	117	17568
12	123	16924
13	126	16183
14	130	15550
15	135	15081
16	140	14701
17	143	14211
18	148	13932
19	152	13557
20	156	13227
21	159	12927
22	163	12632
23	167	12430
24	173	12283
25	177	12093
26	180	11864
27	184	11687
28	188	11515
29	192	11353
30	196	11203
31	200	11074
32	204	10973
33	209	10872
34	212	10732
35	216	10611
36	220	10504
37	224	10397
38	227	10291
39	231	10183
40	235	10086
41	238	9996
42	242	9921
43	246	9853
44	251	9803
45	265	10113
46	269	10034
47	280	10222
48	284	10183
49	289	10121
50	293	10054
51	296	9973
52	300	9906
53	304	9860
54	309	9803
55	312	9733
56	316	9666
57	320	9616
58	323	9559
59	327	9510
60	331	9455
61	335	9399
62	338	9343
63	342	9296
64	346	9255
65	350	9196
66	353	9149
67	357	9117
68	362	9083
69	366	9069
70	370	9030
71	374	8987
72	379	8972
73	383	8936
74	386	8899
75	390	8863
76	394	8822
77	397	8785
78	401	8754
79	407	8754
80	411	8728
81	415	8699
82	419	8670
83	425	8699
84	430	8680
85	435	8677
86	439	8661
87	444	8644
88	448	8618
89	452	8599
90	457	8587
91	462	8582
92	466	8564
93	470	8540
94	474	8524
95	478	8497
96	482	8469
97	487	8461
98	491	8443
99	494	8407
100	498	8390
101	502	8371
102	506	8344
103	510	8319
104	513	8296
105	518	8281
106	521	8256
107	525	8239
108	531	8238
109	538	8280
110	542	8260
111	547	8248
112	551	8232
113	555	8211
114	559	8199
115	563	8184
116	568	8172
117	571	8151
118	575	8127
119	579	8117
120	583	8096
121	587	8079
122	591	8064
123	595	8044
124	599	8031
125	603	8019
126	607	8002
127	611	7987
128	615	7972
129	619	7954
130	622	7936
131	627	7923
132	630	7908
133	634	7890
134	638	7875
135	642	7857
136	647	7854
137	650	7838
138	655	7827
139	658	7811
140	662	7800
141	666	7782
142	671	7778
143	675	7769
144	679	7760
145	683	7741
146	687	7731
147	691	7718
148	695	7706
149	699	7692
150	703	7678
151	706	7663
152	710	7647
153	714	7632
154	717	7619
155	721	7607
156	725	7591
157	728	7573
158	732	7557
159	736	7544
160	739	7531
161	743	7516
162	747	7504
163	750	7490
164	754	7479
165	758	7465
166	762	7454
167	765	7439
168	769	7427
169	773	7416
170	777	7405
171	781	7396
172	786	7395
173	790	7383
174	794	7372
175	797	7361
176	801	7350
177	805	7339
178	809	7327
179	812	7316
180	816	7305
181	820	7295
182	825	7291
183	828	7279
184	833	7272
185	836	7259
186	840	7247
187	843	7235
188	847	7221
189	850	7209
190	854	7197
191	858	7190
192	862	7180
193	866	7172
194	870	7162
195	873	7150
196	877	7137
197	881	7132
198	886	7128
199	889	7118
200	893	7109
201	897	7096
202	900	7087
203	904	7077
204	908	7070
205	912	7061
206	916	7053
207	920	7042
208	924	7040
209	928	7029
210	932	7020
211	935	7009
212	939	6999
213	943	6989
214	946	6980
215	950	6973
216	954	6963
217	958	6952
218	961	6944
219	965	6935
220	969	6928
221	973	6919
222	977	6910
223	980	6900
224	985	6897
225	989	6888
226	992	6879
227	996	6870
228	1000	6860
229	1004	6858
230	1008	6848
231	1012	6842
232	1015	6832
233	1019	6825
234	1023	6816
235	1027	6808
236	1031	6802
237	1035	6796
238	1039	6790
239	1043	6783
240	1047	6775
241	1051	6768
242	1055	6760
243	1058	6751
244	1062	6746
245	1067	6740
246	1070	6733
247	1074	6724
248	1078	6716
249	1082	6709
250	1085	6701
251	1089	6693
252	1093	6685
253	1097	6677
254	1100	6670
255	1105	6665
256	1109	6659
257	1113	6652
258	1116	6643
259	1120	6636
260	1124	6632
261	1128	6625
262	1132	6620
263	1136	6614
264	1141	6611
265	1145	6607
266	1150	6604
267	1156	6609
268	1160	6603
269	1164	6597
270	1168	6592
271	1172	6586
272	1177	6584
273	1182	6583
274	1185	6576
275	1189	6570
276	1194	6566
277	1198	6560
278	1202	6556
279	1206	6551
280	1210	6545
281	1214	6539
282	1218	6532
283	1222	6527
284	1227	6523
285	1230	6515
286	1236	6520
287	1240	6513
288	1244	6508
289	1248	6500
290	1252	6494
291	1256	6488
292	1260	6483
293	1264	6477
294	1269	6479
295	1274	6477
296	1278	6472
297	1283	6467
298	1290	6476
299	1294	6473
300	1299	6470
301	1303	6464
302	1307	6457
303	1311	6451
304	1315	6446
305	1318	6438
306	1322	6432
307	1326	6426
308	1331	6423
309	1335	6417
310	1338	6409
311	1343	6407
312	1347	6400
313	1351	6394
314	1355	6388
315	1359	6383
316	1364	6381
317	1368	6378
318	1372	6372
319	1376	6366
320	1380	6361
321	1385	6359
322	1389	6352
323	1392	6345
324	1397	6344
325	1401	6336
326	1406	6334
327	1410	6328
328	1414	6322
329	1418	6317
330	1421	6310
331	1426	6307
332	1430	6302
333	1434	6297
334	1438	6292
335	1442	6284
336	1446	6278
337	1450	6275
338	1454	6269
339	1458	6262
340	1463	6260
341	1467	6254
342	1470	6248
343	1475	6243
